Heart,Calories,Steps,Distance,Age,Gender,Weight,Height,Activity
62,0.094887225,8.601782314,6.715447746,35,M,179,5.6,1.Sedentary
63,0.279503084,8.601782314,6.715447746,35,M,179,5.6,1.Sedentary
64,0.282912949,8.601782314,6.715447746,35,M,179,5.6,1.Sedentary
66,0.832949473,8.601782314,6.715447746,35,M,179,5.6,1.Sedentary
67,1.38568815,8.601782314,6.715447746,35,M,179,5.6,1.Sedentary
64,0.915700142,3.947001382,3.081440633,35,M,179,5.6,1.Sedentary
60,0.746922567,0,0,35,M,179,5.6,1.Sedentary
57,0.732273142,0.481683619,0.3751352,35,M,179,5.6,1.Sedentary
54,0.350123503,2.525568326,1.966912601,35,M,179,5.6,1.Sedentary
56,0.19456052,2.525568326,1.966912601,35,M,179,5.6,1.Sedentary
58,0,2.525568326,1.966912601,35,M,179,5.6,1.Sedentary
59,0.162538896,2.525568326,1.966912601,35,M,179,5.6,1.Sedentary
61,0.310687527,2.525568326,1.966912601,35,M,179,5.6,1.Sedentary
60,0.210166677,2.525568326,1.966912601,35,M,179,5.6,1.Sedentary
60,0.161773215,2.525568326,1.966912601,35,M,179,5.6,1.Sedentary
59,0.143331141,2.525568326,1.966912601,35,M,179,5.6,1.Sedentary
59,0.315673982,2.525568326,1.966912601,35,M,179,5.6,1.Sedentary
58,0.386406898,2.377043603,1.866204338,35,M,179,5.6,1.Sedentary
58,0.139512669,2.016853674,1.621974951,35,M,179,5.6,1.Sedentary
57,0.225959167,2.016853674,1.621974951,35,M,179,5.6,1.Sedentary
61,0.325949828,2.016853674,1.621974951,35,M,179,5.6,1.Sedentary
65,0.002949911,2.016853674,1.621974951,35,M,179,5.6,1.Sedentary
69,0.297589573,2.016853674,1.621974951,35,M,179,5.6,1.Sedentary
69,0.295460516,2.016853674,1.621974951,35,M,179,5.6,1.Sedentary
69,0,2.016853674,1.621974951,35,M,179,5.6,1.Sedentary
68,0.319651917,2.016853674,1.621974951,35,M,179,5.6,1.Sedentary
68,0.330581867,2.016853674,1.621974951,35,M,179,5.6,1.Sedentary
68,0.317370641,4.872079239,3.913226826,35,M,179,5.6,1.Sedentary
68,0.204603705,5.293649682,4.251527268,35,M,179,5.6,1.Sedentary
67,0.133874159,5.293649682,4.251527268,35,M,179,5.6,1.Sedentary
67,0.320742872,5.293649682,4.251527268,35,M,179,5.6,1.Sedentary
66,0.05717484,5.293649682,4.251527268,35,M,179,5.6,2.Light
66,0.191186097,5.293649682,4.251527268,35,M,179,5.6,2.Light
65,0.33880939,5.293649682,4.251527268,35,M,179,5.6,2.Light
65,0.186197101,5.293649682,4.251527268,35,M,179,5.6,3.Moderate
64,0.095796111,5.293649682,4.251527268,35,M,179,5.6,3.Moderate
64,0.159872543,4.038198078,3.243227314,35,M,179,5.6,3.Moderate
64,0.313840019,1.41746193,1.220434722,35,M,179,5.6,3.Moderate
64,0.278260628,1.546466924,1.331508021,35,M,179,5.6,3.Moderate
63,0.336675559,1.546466924,1.331508021,35,M,179,5.6,3.Moderate
63,0.248183028,1.546466924,1.331508021,35,M,179,5.6,3.Moderate
62,0.27585133,1.546466924,1.331508021,35,M,179,5.6,1.Sedentary
61,0.10275896,1.546466924,1.331508021,35,M,179,5.6,1.Sedentary
61,0.107292222,0.850203451,0.732025171,35,M,179,5.6,1.Sedentary
60,0.044851666,0,0,35,M,179,5.6,1.Sedentary
60,0.016418678,0,0,35,M,179,5.6,1.Sedentary
61,0.11530986,0,0,35,M,179,5.6,1.Sedentary
61,0.20903749,0,0,35,M,179,5.6,1.Sedentary
62,0.124697129,0,0,35,M,179,5.6,1.Sedentary
62,0.199154145,0,0,35,M,179,5.6,1.Sedentary
62,0.18786734,2.835854738,2.528002437,35,M,179,5.6,1.Sedentary
62,0.157994004,3.697956957,3.296517298,35,M,179,5.6,1.Sedentary
62,0.155380525,3.697956957,3.296517298,35,M,179,5.6,1.Sedentary
62,0.123157395,3.697956957,3.296517298,35,M,179,5.6,1.Sedentary
62,0.18305382,3.697956957,3.296517298,35,M,179,5.6,1.Sedentary
61,0.18056982,3.697956957,3.296517298,35,M,179,5.6,1.Sedentary
61,0.256879852,3.697956957,3.296517298,35,M,179,5.6,1.Sedentary
61,0.408726854,3.697956957,3.296517298,35,M,179,5.6,1.Sedentary
60,0.319562825,3.697956957,3.296517298,35,M,179,5.6,1.Sedentary
60,1.083417725,4.623074999,3.743476543,35,M,179,5.6,1.Sedentary
60,0.303649658,6.759385729,4.775608432,35,M,179,5.6,1.Sedentary
61,0.179484487,6.759385729,4.775608432,35,M,179,5.6,1.Sedentary
63,0.209923666,6.759385729,4.775608432,35,M,179,5.6,1.Sedentary
64,0.0906148,6.759385729,4.775608432,35,M,179,5.6,1.Sedentary
64,0.272849561,6.759385729,4.775608432,35,M,179,5.6,1.Sedentary
64,0.310962107,6.759385729,4.775608432,35,M,179,5.6,1.Sedentary
64,0.20963031,6.759385729,4.775608432,35,M,179,5.6,1.Sedentary
64,0.201724112,6.759385729,4.775608432,35,M,179,5.6,1.Sedentary
64,0.208235801,6.759385729,4.775608432,35,M,179,5.6,1.Sedentary
65,0.280731211,31.54261178,24.29123927,35,M,179,5.6,1.Sedentary
66,0.171765241,52.82621512,41.05108098,35,M,179,5.6,1.Sedentary
